GHI (kWh/m²/day),DNI (kWh/m²/day),DHI (% of GHI),Snowfall (mm/year),Quarter1-Cloud cover,Quarter1-Sunshine duration,Quarter1-Ambient temperature,Quarter1-Relative humidity,Quarter1-Precipitation,Quarter2-Cloud cover,Quarter2-Sunshine duration,Quarter2-Ambient temperature,Quarter2-Relative humidity,Quarter2-Precipitation,Quarter3-Cloud cover,Quarter3-Sunshine duration,Quarter3-Ambient temperature,Quarter3-Relative humidity,Quarter3-Precipitation,Quarter4-Cloud cover,Quarter4-Sunshine duration,Quarter4-Ambient temperature,Quarter4-Relative humidity,Quarter4-Precipitation,YearlyCloud cover,Sunshine duration,Ambient temperature,Relative humidity,Precipitation,Label (Yes/No)
3.165,2.829,33.73,280.2,60.61,3.0,31.01,71.1,662.02,51.0,3.1,23.67,92.84,660.39,70.87,0.4,29.68,85.33,499.9,61.74,0.72,9.76,83.75,554.1,61.06,1.8,23.53,83.26,2376.41,No
6.009,6.323,19.05,90.6,22.86,8.86,19.52,52.02,367.12,34.14,8.15,27.96,26.15,333.25,30.12,8.7,26.72,51.24,26.92,37.3,7.45,29.28,61.13,301.48,31.1,8.29,25.87,47.64,1028.77,Yes
1.807,2.684,43.81,321.9,82.59,3.03,7.84,95.71,621.57,92.91,1.66,26.85,91.43,518.78,90.61,0.02,24.75,88.41,575.19,81.5,1.0,29.24,80.07,544.52,86.9,1.43,22.17,88.9,2260.06,No
5.165,4.597,21.9,56.6,13.1,6.98,22.76,29.28,297.08,26.64,6.56,24.69,24.54,48.35,19.58,11.16,33.49,61.31,125.28,20.9,9.29,29.44,69.67,49.34,20.06,8.5,27.6,46.2,520.05,Yes
3.886,3.056,58.4,237.5,95.75,0.68,12.94,84.83,619.92,64.71,5.55,40.17,93.98,417.89,53.91,2.99,33.27,73.7,615.54,76.39,4.36,16.77,90.8,434.85,72.69,3.39,25.79,85.83,2088.2,No
5.509,5.717,18.94,77.4,48.97,7.63,29.06,66.42,257.36,37.24,7.34,25.7,48.13,262.55,49.87,6.2,16.3,23.9,278.62,15.45,9.73,21.49,42.87,80.87,37.88,7.72,23.14,45.33,879.4,Yes
4.132,4.934,22.21,32.7,35.18,9.96,29.67,64.86,162.21,16.66,7.91,23.64,55.69,4.92,22.63,10.68,28.42,56.59,304.43,41.33,10.09,23.79,69.18,213.4,28.95,9.66,26.38,61.58,684.96,Yes
5.26,5.709,20.88,84.2,21.38,9.45,17.46,54.51,274.49,11.71,10.05,23.29,26.2,157.47,17.77,8.49,22.69,56.92,290.33,34.28,6.14,33.62,54.31,12.82,21.28,8.53,24.26,47.98,735.11,Yes
2.786,2.668,57.47,407.7,91.57,0.8,34.59,82.99,383.75,53.0,4.07,13.6,96.04,650.35,51.08,4.12,4.62,82.68,609.28,93.64,2.74,35.42,93.49,530.45,72.32,2.93,22.06,88.8,2173.83,No
2.183,3.771,31.24,117.5,89.83,3.38,7.32,90.13,662.52,92.23,1.69,-3.72,85.3,696.03,60.39,2.53,7.82,70.4,711.95,56.75,4.6,12.33,78.33,727.89,74.8,3.05,5.94,81.04,2798.39,No
4.711,6.26,16.85,68.1,46.99,9.23,32.53,26.24,185.17,28.28,6.05,23.87,38.45,251.17,47.53,6.51,21.55,42.2,170.69,40.99,8.66,15.54,55.51,331.81,40.95,7.61,23.37,40.6,938.84,Yes
3.921,2.98,50.2,360.6,57.22,3.57,1.57,82.04,588.36,77.94,0.71,-3.28,93.95,647.22,54.09,0.76,39.63,93.07,748.56,62.7,2.93,6.82,88.68,418.28,62.99,1.99,11.18,89.44,2402.42,No
6.035,5.538,18.06,62.4,31.08,8.56,17.61,64.33,168.67,17.78,8.21,23.28,61.38,275.11,40.77,6.07,23.32,44.07,7.2,20.39,10.56,17.74,46.77,80.7,27.5,8.35,20.49,54.14,531.68,Yes
2.755,1.696,50.68,456.8,58.15,4.35,17.25,92.62,642.72,51.33,1.07,18.55,98.01,503.28,81.44,0.07,30.56,88.09,643.27,95.23,0.88,8.08,99.87,433.61,71.54,1.59,18.61,94.65,2222.88,No
3.439,1.873,27.67,223.3,81.21,3.7,8.79,83.37,454.46,52.53,3.1,12.35,86.29,729.94,57.17,0.01,-1.16,83.88,640.1,79.04,2.97,12.7,79.3,516.11,67.49,2.45,8.17,83.21,2340.61,No
3.635,2.632,59.94,100.2,55.47,1.81,-3.72,93.47,394.79,87.45,0.32,7.64,95.24,731.66,70.73,5.82,26.34,82.48,676.05,64.77,1.59,27.83,81.71,425.97,69.6,2.39,14.52,88.22,2228.47,No
2.287,2.357,33.83,273.8,73.18,3.18,43.38,97.14,603.52,51.95,3.67,-0.52,91.31,521.28,91.88,5.66,15.86,83.82,596.31,59.86,5.56,16.65,75.0,661.02,69.22,4.52,18.84,86.82,2382.13,No
5.127,5.06,20.09,94.5,31.93,11.72,18.61,56.21,304.59,37.17,9.64,26.3,63.05,308.12,14.89,11.09,23.28,32.68,326.16,27.28,10.85,20.27,20.2,185.8,27.82,10.82,22.12,43.04,1124.67,Yes
2.61,2.56,43.99,492.8,90.65,5.42,-3.52,74.21,406.79,63.16,2.65,27.1,85.02,713.69,96.99,0.98,37.65,84.45,545.0,89.25,0.56,39.12,90.13,703.22,85.01,2.4,25.09,83.45,2368.7,No
5.184,5.621,15.28,1.5,15.18,7.51,23.59,44.37,51.76,36.94,9.58,20.89,20.68,29.12,25.67,6.92,22.54,51.41,205.21,19.25,8.06,27.28,63.04,282.46,24.26,8.02,23.58,44.88,568.55,Yes
2.776,3.297,56.99,357.0,83.72,4.33,8.03,87.48,690.82,64.81,5.38,26.02,82.7,608.69,70.09,5.03,19.12,97.04,566.18,83.02,5.99,2.35,92.1,427.08,75.41,5.18,13.88,89.83,2292.77,No
3.759,1.889,42.29,165.3,93.8,5.59,15.0,79.17,479.74,92.99,4.09,39.03,73.53,553.51,83.81,5.38,14.1,79.39,717.36,52.38,2.88,17.93,74.38,523.11,80.74,4.48,21.52,76.62,2273.72,No
3.695,3.002,46.74,431.5,75.47,2.14,1.94,87.11,582.44,64.69,3.6,16.97,94.17,584.81,96.68,3.11,39.37,85.62,584.26,68.34,2.4,41.66,76.7,420.55,76.3,2.81,24.98,85.9,2172.06,No
3.774,3.235,38.36,195.4,53.55,0.99,44.63,82.2,712.01,58.53,2.55,43.03,72.73,597.74,95.96,5.7,37.3,95.68,619.57,61.02,4.38,43.92,85.78,472.76,67.26,3.4,42.22,84.1,2402.08,No
3.369,3.51,46.09,267.9,81.46,0.56,32.89,86.22,733.77,81.87,0.91,18.88,71.73,654.54,75.09,2.22,43.43,98.22,732.31,61.05,4.37,42.27,87.13,455.31,74.87,2.02,34.37,85.82,2575.93,No
2.209,2.82,48.88,150.1,67.71,4.81,6.84,84.8,611.49,83.56,4.37,38.3,81.79,639.99,86.61,1.8,43.41,95.96,483.7,83.75,4.31,16.57,95.91,633.84,80.41,3.82,26.28,89.62,2369.02,No
4.934,4.959,23.37,65.1,34.57,8.0,31.36,21.92,326.55,30.51,8.39,24.94,53.37,4.79,44.86,8.68,21.86,26.91,164.8,29.85,8.42,28.57,41.04,360.53,34.95,8.37,26.68,35.81,856.67,Yes
6.088,5.283,22.31,1.9,28.58,11.41,19.49,21.58,162.53,38.18,8.73,24.2,53.49,95.4,40.08,6.92,22.92,52.8,310.64,41.66,10.33,22.18,26.12,81.31,37.12,9.35,22.2,38.5,649.88,Yes
5.925,5.156,22.14,73.6,15.53,11.8,31.42,30.22,69.81,15.03,6.83,29.96,43.48,293.6,39.85,9.63,28.73,20.92,116.92,35.51,6.06,15.66,62.59,256.51,26.48,8.58,26.44,39.3,736.84,Yes
1.619,2.503,30.69,375.5,53.94,3.28,33.66,98.5,636.95,54.97,0.53,31.58,76.46,542.71,98.83,4.92,37.33,95.82,607.33,87.2,2.15,44.92,78.39,596.25,73.74,2.72,36.87,87.29,2383.24,No
2.739,3.861,25.81,417.7,62.59,1.11,6.61,71.79,746.99,93.49,3.13,30.76,86.7,679.34,92.24,1.4,17.99,89.05,741.92,84.13,5.39,37.31,87.46,710.12,83.11,2.76,23.17,83.75,2878.37,No
4.762,4.455,15.86,71.4,17.85,10.14,22.81,40.79,175.94,24.71,6.6,21.19,53.19,249.67,21.45,8.76,18.87,30.52,8.64,45.87,7.26,19.55,33.98,47.78,27.47,8.19,20.6,39.62,482.03,Yes
5.112,5.441,24.83,24.2,37.25,10.3,27.15,24.43,253.83,12.56,9.58,29.79,30.55,315.61,11.21,11.06,24.21,30.88,50.17,48.13,6.44,18.98,37.39,232.59,27.29,9.35,25.03,30.81,852.2,Yes
3.554,3.141,59.85,168.9,69.85,4.86,5.78,74.61,535.35,69.19,5.88,17.81,95.83,707.99,57.89,4.29,8.88,72.84,703.01,64.62,2.07,11.2,76.01,537.94,65.39,4.28,10.92,79.82,2484.29,No
5.274,5.308,17.15,71.9,13.39,9.44,26.42,65.71,197.32,15.48,9.44,16.83,30.19,11.67,30.53,6.51,24.39,66.65,269.91,13.1,7.35,28.47,64.74,12.34,18.12,8.18,24.03,56.82,491.24,Yes
2.202,2.589,56.25,361.8,68.12,2.94,35.87,78.99,605.64,63.11,2.88,-3.77,95.57,393.13,61.22,2.0,26.26,91.6,405.17,52.17,4.79,30.61,94.95,628.7,61.16,3.15,22.24,90.28,2032.64,No
2.328,3.38,38.01,495.5,58.56,0.01,24.74,98.59,617.65,54.29,3.24,40.47,70.2,437.59,90.73,5.36,30.36,99.75,408.83,77.28,4.11,30.13,93.8,719.11,70.22,3.18,31.42,90.58,2183.18,No
1.648,3.797,51.87,333.9,71.84,5.76,33.75,86.05,619.93,64.04,1.17,8.67,78.79,652.4,57.0,4.67,21.17,81.54,487.65,75.66,1.91,16.47,92.17,609.75,67.13,3.38,20.02,84.64,2369.73,No
5.452,5.264,16.44,62.4,20.95,8.93,16.65,42.98,114.92,42.9,6.34,23.37,42.92,271.88,32.97,10.0,30.54,63.11,117.7,31.52,11.04,34.79,64.48,139.3,32.08,9.08,26.34,53.37,643.8,Yes
3.16,1.76,48.27,281.7,82.57,1.96,24.07,82.72,584.49,57.35,2.37,13.71,92.09,639.9,95.44,3.79,10.73,93.5,561.37,59.67,4.48,1.63,75.34,659.53,73.76,3.15,12.54,85.91,2445.29,No
1.863,2.748,51.48,219.1,82.4,1.19,1.78,80.81,520.95,88.05,2.76,-0.94,89.02,550.97,66.58,4.81,2.72,97.4,500.27,73.05,5.58,33.06,72.23,591.86,77.52,3.58,9.16,84.86,2164.05,No
4.163,4.205,16.26,83.6,36.31,6.39,22.82,33.93,216.77,30.91,8.89,21.29,26.89,278.39,45.19,11.66,16.17,57.0,272.44,47.88,7.52,29.84,22.73,236.72,40.07,8.62,22.53,35.14,1004.32,Yes
5.471,4.511,20.04,71.1,40.97,6.0,25.1,31.76,328.09,16.12,10.0,20.32,37.83,352.71,19.62,6.57,16.39,45.23,240.64,23.09,10.14,16.22,62.87,306.21,24.95,8.18,19.51,44.42,1227.65,Yes
6.3,5.067,17.93,64.0,26.63,9.57,23.4,27.65,176.04,37.64,10.8,24.87,28.26,155.51,41.45,8.48,28.93,45.36,90.46,41.85,6.51,25.5,30.44,25.15,36.89,8.84,25.67,32.93,447.16,Yes
6.237,4.029,24.66,47.4,41.93,6.76,22.92,33.57,109.37,14.93,10.83,15.18,35.63,65.4,33.56,7.53,20.18,44.42,244.76,14.85,7.05,19.94,68.69,148.93,26.32,8.04,19.56,45.58,568.46,Yes
6.031,5.191,23.53,24.7,10.7,9.72,24.16,48.36,337.25,48.8,9.81,30.28,24.19,60.27,39.33,8.59,23.92,35.43,227.76,17.41,9.76,18.48,23.19,123.88,29.06,9.47,24.21,32.79,749.16,Yes
1.963,3.772,39.39,440.0,62.46,1.88,-2.04,77.73,558.87,97.31,2.33,26.99,82.83,392.55,75.18,0.4,39.18,92.59,516.99,82.01,0.67,30.13,94.68,683.15,79.24,1.32,23.56,86.96,2151.56,No
2.649,1.521,47.07,370.1,76.07,4.14,11.18,74.46,624.21,62.26,2.74,19.58,84.32,599.42,51.47,5.94,30.82,82.76,446.75,54.01,4.03,10.85,76.88,517.48,60.95,4.21,18.11,79.6,2187.86,No
3.616,2.995,55.45,447.1,77.3,5.46,37.42,98.74,693.94,91.06,2.82,5.6,97.32,645.96,64.09,2.05,29.3,84.33,405.56,57.07,4.47,11.43,85.23,662.48,72.38,3.7,20.94,91.4,2407.94,No
2.597,1.565,36.45,268.3,74.29,5.58,0.44,85.57,512.97,99.5,5.17,16.94,99.99,567.77,58.36,3.34,6.31,89.09,726.54,89.31,1.64,9.84,72.08,482.2,80.37,3.93,8.38,86.68,2289.48,No
3.816,2.983,48.5,224.0,84.36,2.63,37.85,81.77,550.6,71.63,4.87,42.68,79.82,553.14,85.3,5.37,19.69,73.27,513.25,77.52,2.51,4.33,71.11,632.78,79.7,3.84,26.14,76.49,2249.77,No
5.331,4.758,18.93,18.0,33.12,11.75,25.06,24.15,232.5,23.61,11.14,23.69,29.64,71.66,40.75,7.59,30.34,30.29,120.63,28.62,11.66,33.63,30.34,134.33,31.52,10.54,28.18,28.6,559.12,Yes
2.468,3.294,53.04,401.3,83.84,0.28,27.99,84.35,735.59,80.36,3.65,44.7,72.81,478.62,82.8,1.89,12.31,96.78,592.26,55.14,1.87,-1.2,86.68,439.98,75.54,1.92,20.95,85.16,2246.45,No
3.112,3.639,45.28,415.8,70.72,3.54,-2.22,99.57,675.01,93.44,4.17,4.3,70.93,699.25,69.82,1.58,23.08,82.63,619.37,74.19,4.18,37.67,75.87,498.54,77.04,3.37,15.71,82.25,2492.17,No
4.679,4.88,15.94,42.8,49.33,7.97,32.53,62.16,357.02,41.6,9.96,32.13,23.78,173.56,49.57,10.62,34.24,58.98,328.08,38.26,10.56,25.46,66.21,309.39,44.69,9.78,31.09,52.78,1168.05,Yes
6.21,5.359,15.4,92.0,29.57,11.21,32.14,60.79,23.03,19.88,11.25,32.98,42.9,165.02,17.01,11.81,19.26,29.55,247.77,19.71,11.63,15.22,20.29,189.33,21.54,11.48,24.9,38.38,625.15,Yes
1.741,3.796,48.4,198.8,80.52,2.43,26.77,84.22,557.05,86.79,3.68,-1.0,71.96,489.38,71.51,1.65,27.57,75.85,639.05,88.66,0.75,27.54,98.84,447.31,81.87,2.13,20.22,82.72,2132.79,No
3.842,3.487,47.74,213.8,85.06,1.74,-3.12,85.25,558.26,88.15,5.19,12.72,83.48,551.4,66.21,4.46,21.11,97.42,618.87,60.59,0.99,13.62,80.41,527.67,75.0,3.1,11.08,86.64,2256.2,No
3.363,3.755,44.29,444.9,77.08,3.6,17.25,74.37,582.56,98.87,4.72,32.37,89.3,505.47,58.48,1.35,-4.68,90.2,679.45,63.45,0.55,11.79,78.76,544.08,74.47,2.56,14.18,83.16,2311.56,No
1.72,3.07,40.88,454.3,69.41,4.08,6.41,77.78,516.05,65.2,1.52,-2.52,95.1,399.11,94.37,0.75,-1.74,86.89,563.42,74.56,3.45,9.35,89.89,563.4,75.89,2.45,2.88,87.42,2041.98,No
2.948,3.148,54.96,392.8,60.56,2.8,44.01,86.64,726.84,90.67,4.0,12.47,79.13,616.28,71.63,4.79,33.02,79.36,638.52,74.73,1.94,15.65,96.86,509.82,74.4,3.38,26.29,85.5,2491.46,No
4.478,5.625,17.0,58.3,37.1,11.98,15.61,24.56,28.89,25.93,10.93,31.88,56.85,336.33,22.91,6.53,16.16,62.61,273.91,37.94,8.04,22.6,67.91,23.93,30.97,9.37,21.56,52.98,663.06,Yes
5.293,6.24,18.46,86.1,12.16,11.89,33.24,38.16,290.52,40.09,11.41,21.15,43.28,324.37,41.14,8.36,31.91,22.35,293.27,18.27,7.72,24.86,42.49,195.21,27.92,9.85,27.79,36.57,1103.37,Yes
2.278,3.446,34.01,152.3,60.95,4.07,25.7,90.65,495.73,95.04,2.71,20.69,98.46,742.23,83.08,5.67,22.08,79.22,493.16,77.95,3.63,16.98,96.51,535.01,79.26,4.02,21.36,91.21,2266.13,No
2.189,3.116,32.15,377.6,50.16,3.29,15.05,79.09,568.39,82.27,5.79,36.65,91.51,554.61,69.61,0.2,12.95,95.45,519.01,73.08,1.63,8.71,71.86,605.18,68.78,2.73,18.34,84.48,2247.19,No
4.865,5.545,19.9,96.7,48.0,11.9,32.33,65.48,81.48,43.24,10.25,34.26,48.56,31.94,33.9,10.12,19.41,39.71,224.44,24.96,8.25,17.66,67.04,281.44,37.53,10.13,25.92,55.2,619.3,Yes
4.63,4.953,22.78,49.3,45.57,8.08,22.39,64.44,174.14,30.64,8.0,20.53,52.8,44.94,45.17,10.68,18.81,54.7,225.99,17.38,7.64,23.18,54.96,239.52,34.69,8.6,21.23,56.72,684.59,Yes
1.86,3.451,39.56,235.4,53.68,5.98,42.8,73.95,499.8,69.54,1.78,41.72,91.64,733.47,93.73,4.53,29.85,95.98,631.56,59.44,3.89,20.75,99.46,566.24,69.1,4.04,33.78,90.26,2431.07,No
3.009,3.219,35.32,341.1,88.8,2.09,21.27,74.4,383.87,99.07,1.8,8.95,99.2,648.09,79.26,4.2,30.5,92.9,400.2,70.64,1.77,-1.47,82.38,606.07,84.44,2.46,14.81,87.22,2038.23,No
2.478,2.576,47.09,262.9,54.85,5.68,15.8,80.28,542.52,60.83,0.6,2.43,75.0,449.13,71.0,3.74,26.44,70.0,720.36,91.14,5.78,13.0,89.94,438.01,69.46,3.95,14.42,78.81,2150.02,No
2.639,2.671,39.38,193.2,69.33,3.17,21.4,92.85,509.55,85.84,3.47,43.09,81.56,712.96,91.03,3.83,27.73,72.54,731.33,55.35,3.38,11.5,82.9,603.82,75.39,3.46,25.93,82.46,2557.66,No
5.929,6.299,20.33,10.0,33.55,10.67,16.87,28.63,4.61,33.75,11.32,28.41,69.1,23.64,46.12,10.88,21.28,68.68,107.98,45.57,11.28,30.15,48.17,45.0,39.75,11.04,24.18,53.64,181.23,Yes
1.98,2.117,52.28,250.9,50.36,2.49,6.4,90.5,447.92,92.11,1.6,14.65,78.94,616.47,55.06,2.87,11.72,96.52,402.53,91.48,1.01,-0.57,76.07,413.49,72.25,1.99,8.05,85.51,1880.41,No
5.714,6.147,15.89,86.5,22.82,7.07,19.79,40.9,94.2,22.82,6.81,20.92,48.61,165.7,23.87,10.48,32.87,57.84,124.5,39.78,6.91,17.61,37.28,302.89,27.32,7.82,22.8,46.16,687.29,Yes
2.367,2.888,49.92,116.0,74.81,5.17,17.76,85.64,557.55,69.49,0.66,1.32,75.37,672.21,63.77,5.69,35.51,90.54,645.15,52.38,3.41,42.05,71.17,484.13,65.11,3.73,24.16,80.68,2359.04,No
5.007,6.268,22.4,54.3,31.19,8.09,25.41,52.77,156.89,38.57,11.17,18.09,42.58,153.01,37.5,7.5,27.81,63.87,156.8,46.44,11.96,17.12,31.65,356.39,38.42,9.68,22.11,47.72,823.09,Yes
2.748,3.008,58.62,454.1,55.45,1.6,36.66,94.73,478.26,86.53,4.03,18.68,76.04,708.24,83.89,1.01,30.24,92.24,707.58,61.14,5.93,2.67,88.02,621.44,71.75,3.14,22.06,87.76,2515.52,No
5.546,5.954,22.03,83.4,12.25,10.49,32.02,34.31,240.17,22.57,11.75,15.67,48.99,62.44,38.49,7.06,19.71,44.72,343.06,18.47,6.87,30.18,45.03,341.92,22.94,9.04,24.4,43.26,987.59,Yes
5.097,4.585,19.12,71.6,14.38,7.62,15.93,41.62,310.29,10.99,10.05,33.65,31.85,260.11,49.0,11.77,19.7,25.02,55.61,38.08,10.35,28.48,36.8,63.67,28.11,9.95,24.44,33.82,689.68,Yes
3.545,3.7,49.61,217.4,59.53,3.75,19.14,90.06,416.89,56.8,2.18,7.94,88.58,512.83,84.2,4.61,4.36,97.59,670.18,81.34,5.45,8.29,82.65,407.17,70.47,4.0,9.93,89.72,2007.07,No
3.179,3.937,38.16,191.9,93.46,1.2,29.87,71.03,382.12,72.58,3.94,2.12,92.92,423.28,76.69,1.85,32.61,94.12,399.78,59.63,5.36,15.78,84.3,438.01,75.59,3.09,20.1,85.59,1643.19,No
4.854,5.621,15.68,89.7,14.78,7.97,31.31,49.87,147.61,28.94,11.13,21.8,63.48,33.05,41.07,11.09,18.64,41.52,62.06,38.26,9.21,27.71,29.82,79.4,30.76,9.85,24.86,46.17,322.12,Yes
2.369,2.418,40.94,445.8,57.01,0.33,15.1,71.67,632.85,88.02,5.13,32.19,97.49,655.61,96.8,1.16,19.99,99.82,630.59,93.93,0.18,38.59,90.93,439.03,83.94,1.7,26.47,89.98,2358.08,No
1.831,1.993,29.96,377.3,76.43,2.58,34.92,79.77,588.04,53.72,4.47,29.76,94.07,706.68,87.9,5.07,12.28,80.3,729.11,95.73,3.29,13.33,95.98,496.28,78.45,3.85,22.57,87.53,2520.11,No
4.424,5.299,18.37,82.9,27.24,7.49,27.34,55.34,62.64,16.7,6.22,29.73,53.19,177.99,43.77,10.83,26.71,63.41,77.19,14.48,7.62,16.14,46.56,351.23,25.55,8.04,24.98,54.62,669.05,Yes
5.747,6.499,22.1,76.2,47.53,6.68,29.1,62.54,357.89,18.44,9.02,28.61,32.37,225.18,20.3,8.0,23.83,46.46,168.51,29.73,7.79,18.18,22.37,73.49,29.0,7.87,24.93,40.94,825.07,Yes
3.477,2.697,47.73,314.1,52.95,2.54,-4.51,89.86,565.56,56.34,3.25,39.92,80.21,743.39,97.97,4.71,35.69,82.32,525.95,97.72,2.2,-0.16,74.58,641.4,76.24,3.18,17.74,81.74,2476.3,No
3.783,2.055,48.17,376.6,82.27,3.32,19.31,82.6,718.84,50.48,0.32,19.63,79.92,528.09,99.89,4.65,38.87,81.06,464.84,88.4,4.85,22.49,96.88,737.75,80.26,3.28,25.08,85.12,2449.52,No
2.331,2.427,28.49,100.6,78.77,1.81,-4.11,95.8,594.15,58.56,5.19,7.68,76.82,710.49,58.97,5.27,35.15,79.29,387.9,54.13,0.66,39.54,82.12,387.2,62.61,3.23,19.56,83.51,2079.74,No
5.66,5.066,23.89,84.5,31.02,10.15,32.67,44.79,117.47,40.15,7.32,22.77,63.29,271.66,26.15,7.29,22.12,34.21,66.03,39.73,7.51,24.08,39.29,368.28,34.26,8.07,25.41,45.4,823.44,Yes
4.872,5.135,20.95,97.4,23.1,11.54,20.39,69.45,251.35,28.54,9.68,20.45,33.71,42.58,14.56,8.09,30.26,50.4,38.47,44.09,9.61,34.22,53.51,65.69,27.57,9.73,26.33,51.77,398.09,Yes
3.083,2.564,25.56,111.3,73.56,1.1,24.25,82.25,620.41,97.62,3.17,34.37,92.59,720.67,60.7,4.96,40.28,81.78,492.68,97.6,3.77,14.03,93.75,489.18,82.37,3.25,28.23,87.59,2322.94,No
2.329,2.963,36.82,257.2,93.14,5.31,36.39,95.94,588.65,82.31,3.34,34.28,86.53,416.65,90.48,4.56,36.02,75.71,476.86,64.79,3.05,1.69,81.56,443.31,82.68,4.06,27.1,84.94,1925.47,No
3.876,1.735,51.88,181.4,69.01,5.24,22.29,72.02,565.52,89.48,3.17,3.34,83.35,721.63,82.91,4.38,34.3,72.72,593.08,68.8,0.83,5.14,93.43,435.56,77.55,3.4,16.27,80.38,2315.79,No
1.634,1.8,41.5,367.4,82.06,0.87,26.67,82.15,549.28,90.07,1.99,2.35,96.2,454.55,64.7,4.24,29.18,94.01,443.95,67.61,0.76,22.05,78.78,633.35,76.11,1.96,20.06,87.78,2081.13,No
2.924,2.296,39.63,385.1,50.46,1.66,2.12,73.83,734.64,68.83,3.16,31.69,71.42,465.38,91.61,5.17,13.65,81.25,658.84,64.75,0.7,7.88,81.62,394.58,68.91,2.67,13.84,77.03,2253.44,No
3.267,3.912,37.13,451.4,51.09,1.73,-2.57,89.54,412.8,92.29,3.88,-3.56,91.44,698.26,83.06,0.18,37.9,91.97,516.92,66.43,2.88,38.36,77.56,412.86,73.22,2.17,17.53,87.63,2040.84,No
3.624,2.203,58.35,492.6,61.56,5.37,39.16,71.19,626.13,65.26,4.05,40.68,84.96,530.4,96.08,5.84,-1.89,97.69,406.04,66.86,4.58,33.85,91.77,389.67,72.44,4.96,27.95,86.4,1952.24,No
4.296,4.722,18.98,92.0,49.73,6.27,30.22,38.59,147.17,40.17,11.51,34.02,48.86,133.92,41.5,7.51,26.28,37.93,246.24,19.62,7.15,33.36,25.09,189.73,37.76,8.11,30.97,37.62,717.06,Yes
1.805,3.2,33.52,351.5,61.16,2.33,37.83,92.17,432.97,80.39,3.77,-0.47,83.97,472.75,73.36,4.66,2.91,73.7,475.99,97.61,4.49,-4.03,82.03,471.52,78.13,3.81,9.06,82.97,1853.23,No
1.596,2.16,57.11,484.9,86.42,0.34,-3.82,84.39,749.88,93.46,5.6,26.18,95.77,494.89,51.37,5.51,5.92,91.85,622.11,57.91,1.17,11.45,92.71,389.72,72.29,3.16,9.93,91.18,2256.6,No
5.54,4.473,16.92,65.3,12.15,7.88,17.99,49.01,248.16,38.85,7.53,16.78,23.93,159.81,47.83,7.31,20.13,25.04,227.09,37.19,9.86,32.22,44.32,50.42,34.0,8.14,21.78,35.57,685.48,Yes
4.878,4.785,21.84,21.6,26.79,7.13,15.17,68.5,161.89,48.77,6.84,26.75,30.05,296.28,41.35,6.68,33.24,29.73,229.87,49.43,11.29,34.13,37.13,39.59,41.58,7.98,27.32,41.35,727.63,Yes
5.972,5.293,19.4,14.7,23.13,8.6,16.77,31.03,224.33,39.43,11.99,33.66,52.13,157.97,35.45,10.71,17.37,40.5,314.93,25.35,9.43,26.76,29.22,135.84,30.84,10.18,23.64,38.22,833.07,Yes
4.188,5.071,17.39,63.0,42.27,11.8,24.09,59.31,343.89,37.33,7.46,27.16,68.5,370.33,35.69,11.32,19.01,32.3,357.33,15.41,7.15,23.41,49.48,226.43,32.67,9.43,23.42,52.4,1297.98,Yes
1.897,2.83,34.85,138.5,73.35,3.54,-2.65,82.06,471.62,51.53,0.75,1.95,75.49,676.27,71.97,0.88,0.01,78.94,674.26,68.22,0.96,15.21,86.66,386.09,66.27,1.53,3.63,80.79,2208.24,No
6.223,5.17,21.57,89.5,25.72,11.77,23.32,50.05,266.18,48.02,7.47,29.92,46.04,100.71,41.06,9.31,28.22,36.15,180.48,34.69,8.43,18.97,68.08,191.8,37.37,9.24,25.11,50.08,739.17,Yes
3.169,3.12,53.36,155.8,89.17,6.0,37.55,92.55,623.31,71.09,4.38,31.21,88.94,673.6,72.44,0.73,22.95,77.95,519.16,50.87,2.3,35.44,86.28,378.68,70.89,3.35,31.79,86.43,2194.75,No
2.441,2.617,39.65,402.6,96.4,2.95,36.64,91.96,499.01,79.37,4.0,-3.83,81.88,747.24,81.86,2.01,7.5,76.28,525.62,59.66,0.81,13.2,88.21,429.9,79.32,2.44,13.38,84.58,2201.77,No
4.868,6.25,15.22,66.4,48.54,9.36,33.74,22.61,157.05,20.41,10.38,34.63,32.83,245.32,17.92,9.39,24.28,68.6,228.2,23.98,6.68,18.02,31.27,94.11,27.71,8.95,27.67,38.83,724.68,Yes
3.517,3.329,46.55,192.6,63.13,4.34,35.13,73.48,445.24,84.02,2.33,23.16,88.44,666.08,90.29,1.68,22.06,73.71,690.76,92.27,1.8,3.03,72.1,590.62,82.43,2.54,20.85,76.93,2392.7,No
5.765,5.226,17.58,88.5,33.08,7.33,20.38,60.16,16.55,49.68,6.78,30.92,39.74,184.58,45.23,8.48,25.75,22.46,0.88,19.79,10.08,17.43,25.69,154.11,36.94,8.17,23.62,37.01,356.12,Yes
4.712,4.092,21.1,50.3,12.06,7.67,33.17,31.98,54.34,29.58,11.91,19.84,53.61,285.61,19.51,10.37,22.36,51.62,237.57,31.43,6.54,31.71,36.04,69.94,23.15,9.12,26.77,43.31,647.46,Yes
