Slope,Elevation,TurbulenceIntensity,Quarter1-AirTemperature,Quarter1-RelativeHumidity,Quarter1-Precipitation,Quarter1-WindSpeed,Quarter1-WindGustSpeed,Quarter1-AirPressure,Quarter2-AirTemperature,Quarter2-RelativeHumidity,Quarter2-Precipitation,Quarter2-WindSpeed,Quarter2-WindGustSpeed,Quarter2-AirPressure,Quarter3-AirTemperature,Quarter3-RelativeHumidity,Quarter3-Precipitation,Quarter3-WindSpeed,Quarter3-WindGustSpeed,Quarter3-AirPressure,Quarter4-AirTemperature,Quarter4-RelativeHumidity,Quarter4-Precipitation,Quarter4-WindSpeed,Quarter4-WindGustSpeed,Quarter4-AirPressure,Yearly-AirTemperature,Yearly-RelativeHumidity,Yearly-Precipitation,Yearly-WindSpeed,Yearly-WindGustSpeed,Yearly-AirPressure,Label
28.21,2572.8,34.2,11.89,22.87,943.1,4.26,81.89,1036.19,-1.09,27.35,875.73,5.16,81.42,1031.48,21.98,7.37,1477.5,5.25,55.25,973.94,9.59,84.61,1542.96,5.31,97.16,968.7,16.2,56.65,194.28,4.28,80.46,1004.71,Yes
12.24,36.64,12.75,43.04,111.86,3753.86,0.64,10.83,940.76,-33.62,115.47,3862.27,2.78,8.64,1057.26,-35.15,138.86,3534.76,1.23,46.71,947.23,49.39,135.82,2464.03,1.58,5.51,1056.47,43.15,101.94,2941.59,2.49,34.46,943.22,No
11.59,651.17,13.57,-35.44,140.7,3014.09,3.15,35.39,1057.41,42.59,173.61,2204.46,2.82,30.4,1057.68,-31.61,115.81,2426.43,1.89,21.39,1053.66,44.18,158.86,2744.4,0.18,43.38,946.69,-39.28,120.89,2702.09,1.99,39.3,943.16,No
6.55,348.11,0.27,47.92,148,2276.22,3.46,16.17,1057.98,41.94,102.56,3463.53,0.03,19.39,940.13,45.52,115.66,3242.4,2.14,35.46,1053.9,-37.15,169.13,3092.05,0.54,16.21,945.62,47.67,126.97,2278.1,2.07,12.91,944.68,No
23.18,2121.85,39.97,15.37,81.06,1060.99,5.57,69.15,958.64,39.74,37.36,1584.46,4.15,66,992.93,30.71,68.66,433.37,5.81,95.39,1015.34,-29.25,40.93,967.37,4.71,59.05,965,7.85,10.89,1505.49,6.81,88.87,1045.54,Yes
2.8,1232.32,12.94,47.39,144.07,3292.82,1.12,30.53,948.37,44.64,122.74,2423.29,1.22,42.09,946.95,49.47,109.19,2560.13,2.53,45.91,1057.3,47.01,121.34,2842,3.13,40.3,943.67,-33.41,103.89,3742.61,1.18,42.88,945.36,No
9.32,200.12,5.27,45.95,138.83,2128.27,1.34,47.61,942.76,-32.5,150.78,3687.23,2.32,31.07,1057.67,-35.28,140.96,2182.14,2.86,14.34,1059.55,-35.63,101.69,3992.86,0.55,40.71,948.57,-31.71,179.01,3322.87,0.14,18.66,1057.7,No
0.22,1282.49,4.03,46.66,112.23,3174.23,2.72,39.76,942.83,-38.13,155.62,2914.75,2.96,17.67,943.03,48.37,108.09,3657.25,2.53,35.5,1055.39,-32.43,101.4,2486.3,1.52,30.17,1055.77,-39.33,102.56,3336.56,2.13,18.99,1057.54,No
28.66,2074.92,36.53,29.27,89.75,656.45,6.22,54.98,1005.77,2.79,16.4,1403.23,5.47,87.11,977.59,-14.94,16.56,1934.91,4.13,51.05,1001.5,12.45,89.88,581.76,5.31,94.5,965.96,15.65,64.29,1621.72,6.84,67.71,970.53,Yes
19.01,2554.91,28.25,39,30.44,1444.46,7.68,94.44,1029.76,23.35,52.26,892.02,7.32,82.05,1013.01,-9.87,3.64,236.08,6.81,90.89,979.64,15.73,43.41,1577.28,6.2,93.8,1017.65,-1.74,28.91,806.02,8,88.9,975.27,Yes
7.77,299.98,7.53,-32.21,155.46,3745.64,1.49,29.05,1057.46,-37.22,166.47,3800.47,3.01,35.08,1054.49,48.83,134.22,3728.65,1.07,18.06,1051.25,47.24,144.14,3598.98,0.2,0.87,1058.28,-35.13,169.29,2566.34,1.84,35.59,1051.3,No
16.26,2534.05,37.37,2.83,47.9,1791.32,5.94,97.83,1014.62,33.23,60.92,1445.35,5.14,85.05,980.97,31.03,15.82,298.05,5.56,65.21,1042.59,35.31,63.77,1819.69,4.36,56.74,980.94,-2.71,61,448.81,7.9,70,950.79,Yes
9.44,666.85,15.78,43.71,157.32,2795.25,1.18,27.18,1059.65,-31.39,166.43,3418.17,0,30.28,946.57,-39.85,157.29,3691.28,0.3,13.91,1055.23,42.07,101.07,2472.68,1.81,10.95,1056.51,-32.46,141.57,2908.81,1.93,15.78,1055.45,No
11.72,244.71,11.84,42.18,130.03,3754.22,0.68,6.95,942.71,44,178.22,2614.72,3.5,37.43,1053.77,42.77,133.01,2686.61,2.85,5.54,1056.45,41.54,132.5,2146.36,1.97,26.47,1056.74,47.82,169.52,3041.18,3.1,29.22,1053.98,No
15.55,2209.57,32.44,24.85,53.01,1333.2,7.3,74.52,1022.93,3.32,9.18,1881.24,7.44,61.46,974.34,-2.42,20.35,1906.77,6.69,50.43,1045.29,2.02,80.41,1081.6,7.22,52.65,1017.04,1.18,28.65,1253.54,5.62,71.49,975,Yes
10.41,1125.17,18.32,49.86,132.05,2827.43,1.12,29.01,1056.44,-39.47,128.56,3880.37,2,36.25,946.17,42.14,149.69,3515.75,1.85,32.13,1052.2,-33.09,126.74,3619.12,0.6,42.66,1051.15,-39.62,151.45,3769.37,2.3,30.39,945.77,No
5.73,325.6,0.7,-36.97,96.38,2852.68,1.87,29.19,941.24,47.16,120.43,3424.35,0.45,26.04,1057.46,43.64,115.09,3212.38,2.2,27.48,1051.92,45.56,150.51,2418.42,2.1,13.9,941.42,-33.78,151.16,2025.63,1.95,44.5,942.58,No
16.82,2548.05,20.46,-9.03,69.82,63.89,5.3,64.85,1024.66,-29.24,61.09,946.95,6.52,66.2,998.1,20.69,8.31,724.7,7.76,71.04,1007.41,18.76,55.23,1073.61,6.9,60.39,1007.96,4.57,46.33,18.57,5.46,57.44,958.96,Yes
25.31,2944.12,22.27,30.79,83.54,1868.15,7.13,97.99,950.8,-14.43,17.12,838.86,6.46,75.99,951.33,29.49,46.82,1078.61,5.7,51.6,989.57,-19.68,72.79,946.71,6.99,90.26,1004.96,-10.79,3.49,148.38,7.55,62.05,1036.31,Yes
9.09,168.88,6.85,48.41,163.54,2425.41,2.93,44.04,1057.39,46.87,125.72,3642.75,2.51,46.93,942.19,41.06,147.63,3180.86,3.08,24.95,946.26,42.3,144.24,2211.09,3.48,2.42,1055.73,43.41,128.14,2031.29,2.73,12.73,1056.15,No
25.64,2122.59,27.5,18.96,7.54,1947.56,6.41,71.66,1036.97,-25.93,82.61,1233.07,4.45,52.36,953.49,35.81,86.41,1155.12,5.02,54.55,1036,-5.57,76.58,1776.08,4.67,60.22,1036.93,-21.04,66.53,554.78,6.9,84.16,1010.94,Yes
15.66,1783.09,38.7,31.87,57.7,990.36,4.19,95.53,1005.28,-25.79,20.18,1010.14,6.63,89.03,1035.71,15.25,70.05,1641.21,5.53,75.19,1004.38,13.95,58.43,637.54,5.73,87.08,958.38,-29.3,27.35,1350.11,7.69,91.46,966.13,Yes
9.73,662.83,11.99,-31.53,140.64,3952.1,2.38,3.14,1051.79,47.25,140.06,3864.75,1.93,0.52,1055.44,43.69,154.92,3463.23,2.58,37.73,941.76,-37.53,179.09,2622.47,3.19,44.55,1057.14,42.78,150.36,2399.62,0.13,47.76,1051.71,No
12.02,440.84,16.5,-32.34,138.1,2167.59,1.01,2.88,945.09,-32.98,132.87,3012.52,0.23,22.88,942.38,-39.11,107.26,2721.88,0.15,36.33,1053.86,41.9,176.32,2014.75,2.72,22.32,941.22,-35.1,158.49,3025.82,3.21,41.73,1055.28,No
11.42,1081.31,1.74,-35.19,163.84,2244.98,1.1,18.63,1055.52,-32.45,154.86,3003.37,3.26,42.98,947.31,-33.94,155.86,2926.55,3.17,9.85,943.29,42.32,162.03,2201.54,1.14,38.49,943.82,-35.63,146.04,3758.67,0.72,44.88,943.73,No
7.38,141.12,10.89,-34.98,157.85,3113.45,1.26,1.88,1057.06,43.47,115.35,3414.54,0.75,38.35,1054.65,-36.2,119.72,3393.76,2.04,47.43,943.67,-33.51,166.62,2933.39,1.93,40.16,942.35,-39.47,167.09,2467.9,0.56,33.44,947.06,No
27.04,2421.71,34.6,-11.58,54.95,1885.54,4.99,65.06,1001.55,-7.33,56.77,1042.81,5.62,58.04,954.41,25.81,82.13,317.79,7.88,64.74,1036.71,7.22,1.36,1634.1,6.71,85.41,1029.56,-28.26,57.06,1943.37,7.35,91.9,985.27,Yes
18.14,1917.8,24.05,-15.46,22.02,97.98,4.78,52.29,995.33,10.03,76.45,1306.46,6.47,52.43,962.91,-8.39,11.47,280.46,4.08,89.58,1016.5,30.25,75.64,113.3,5.36,61.48,1038.12,-12.66,17.09,71.77,5.69,85.6,1026.44,Yes
23.87,1818.85,21.15,-14.89,9.12,513.49,5.04,79.21,1005.36,-9.33,65.79,1674.17,5.35,52.51,950.89,10.65,8.45,1473.33,4.55,57.47,1033.37,9.34,70.09,276.23,6.62,73.21,1010.34,-29.52,27.91,276.11,5.88,99.07,968.79,Yes
4.61,498.75,18.35,48.86,133.83,2298.71,0.76,35.93,1053.93,-39.45,164.02,2598.7,0.79,2.28,940.55,-34.95,173.89,2198.13,2.99,42.4,947.14,-31.77,177.16,3780.01,3.15,46.69,944.36,-38.78,178.19,2965.63,2.75,6.71,1051.07,No
12.69,194.42,14.76,-37.65,155.81,2095.05,3.5,30.03,943.25,44.77,124.51,2588.15,1.98,24.75,941.94,-37.79,133.69,2395.75,0.29,12.82,942.6,47.08,155.78,2337.11,2.07,31.6,1059.32,-37.57,134.77,2051.01,3.11,37.2,947.46,No
28.43,2245.83,31.07,-3.96,11.29,1588,4.41,76.92,964.89,5.61,74.99,1743.47,6.12,77.19,1026.91,35.62,17.28,622.44,5.71,91.98,1047.2,30.94,88.54,6.09,7.85,59.2,1049.17,-6.85,48.44,305.31,6.27,80.53,957.95,Yes
22.03,2678.32,33.24,-6.2,48.85,1683.12,4.75,58.27,1023.67,34,80.9,440.04,7.08,72.52,968.49,23.35,71.12,331.43,5.85,65.18,1043.17,27.1,76.46,1046.55,4.64,88.62,991.89,-17.03,47.04,1725.65,7.64,89.21,1023.44,Yes
19.91,2793.99,29.85,-9.63,27.02,1688.03,7.57,83.15,1011.88,4.55,32.4,853.04,6.76,66.98,1009.92,-7.56,23.87,747.26,6.37,92.97,953.13,-17.55,14.95,1281.45,5.03,88.88,957.41,-8.52,74.74,1282.27,7.48,76.34,1022.61,Yes
7.18,591.71,17.31,46.62,170.04,3915.35,0.83,34.73,946.66,45.54,154.17,3810.17,0.8,21.34,945.7,-35.33,101.5,2065.9,0.32,18.22,942.73,-32.66,155.36,2017.46,1.36,15.53,1053.91,-34.77,116.09,3071.86,0.82,30.73,1053.45,No
5.06,130.28,14.25,-33.04,147.84,2387.15,2.28,13.9,1052.09,-38.15,151.08,3416.52,1.62,10.31,941.48,-31.54,108.41,2445.65,3.1,47.88,943.06,-34.49,154.58,2969.16,2.89,40.38,943.5,-33.89,113.99,3770.05,1.96,48.16,1059.55,No
19.8,2120.72,26.37,11.5,18.38,1083.84,6.12,53.18,977.51,38.94,26.03,1013.42,4.07,88.39,990.96,-17.46,32.03,986.54,7.91,99.99,1021.34,12.78,82.44,327.97,4.82,79.48,996.28,18.83,74.31,1027.64,4.7,50.48,981.66,Yes
3.79,910.47,12.95,-33.72,110.44,3045.5,3.43,23.04,946.51,-31.65,144.06,3831.41,1.12,7.71,946.47,47.86,143.31,2817.9,1.82,15.55,1051.91,46.2,106.37,2067.51,1.2,0.39,947.97,-31.59,124.51,3776.34,2.12,6.63,1051.19,No
5.3,1375.08,17.24,44.16,154.08,3829.32,1.23,15.43,1059.73,-39.02,177.58,3528.33,2.95,39.3,942.45,45.96,169.5,3655.22,3.31,32.55,1053.59,-36.66,160.48,3727.55,2.34,8.55,1059.27,-33.02,178.5,3296.05,2.96,19.49,1059.49,No
7.05,1257.17,14.57,48.66,148.78,3889.26,0.26,20.8,1057.3,48.57,165.94,2011.35,1.38,31.16,948.33,-36.75,108.07,3884.46,2.99,47.06,940.72,-39.78,175.95,3451.18,1.38,13.45,947.85,-39.49,157.43,2915.48,3.32,10,1053.09,No
28.37,1588.26,38.58,19.82,24.52,1964.16,6.46,59.9,1045.17,-26.51,9.33,1521.75,7.66,79.15,1029.28,2,6.66,1847.07,4.34,87.84,1029.73,14.45,75.72,879.1,6.18,57.28,951.94,29.47,11.24,1322.82,5.68,69.15,962.41,Yes
25.35,2216.88,32.35,-4.89,51.67,980.29,7.85,76.86,1042.47,-12.83,26.02,1376.1,5.27,83.2,971.07,30.82,30.86,331.46,4.3,82.59,976.69,21.72,28.75,616.45,4.65,62.34,972.55,9.15,77.19,856.8,4.22,85.94,1000.92,Yes
9.54,1269.37,1.98,48.85,144.41,2794.41,1.77,20.35,946.91,-33.78,148.43,3158.02,1.08,20.67,947.43,-31.15,139.7,3695.44,1.5,31.5,940.56,44.24,159.45,3841.23,1.14,46.61,945.12,-33.31,123.05,2712.14,3.17,9.2,1059.99,No
10.39,749.04,3.81,-31.68,147.63,2995.27,2.89,42.91,940.95,-38.84,175.11,3863.23,2.27,44.88,1056.02,47.92,167.17,3183.43,3.11,38.83,1058.39,49.1,169.38,2456.02,2.14,0.88,940.13,-33.34,99.1,3222.25,0.44,14.63,1058.33,No
11.9,375.49,9.24,46.9,151.89,3779.16,3.34,46.88,946.66,-38.95,140.06,2027.77,0.57,48.5,1054.16,48.75,101.71,3403.94,2.91,6.59,947.39,-38.67,162.37,2529.72,3.11,19.15,1058.48,-33.08,174.04,3670.68,0.47,34.16,946.59,No
27.08,1638.09,26.86,6.17,57.01,638.27,5.97,70.87,968.5,-18.75,32.07,837.66,4.19,54.79,1020.37,21.77,79.07,587.87,7.32,75.08,977.42,-7.36,83.42,1592.78,5.08,95.24,951.17,22.55,18.3,948.73,6.14,89.98,1023.06,Yes
11.53,484.7,14.1,-31.56,107.57,2093.81,1.08,1.09,945.09,42.66,177.27,2063.26,1.19,45.39,1056.94,46.9,129.93,3499.75,2.43,0.02,942.62,47.24,102.8,3115.26,0.21,22.61,1057.91,-35.59,119.85,2655.96,1.54,1.2,1055.91,No
18.63,2175.09,29.44,20.87,55.88,1702.54,7.57,65.2,1019.44,-19.42,9.34,67.36,4.23,70.65,1031.17,-20.32,30.43,721.96,7.35,65.24,1042.36,-17.37,29.88,277.31,7.14,92.6,1042.7,6.03,55.97,53.15,4.89,96,986.42,Yes
5.12,311.73,17,48.12,133.53,3238.39,2.31,9.78,940.8,42.85,138.34,3041.61,2.52,33.51,948.29,41.75,155.57,2563.31,2.57,2.81,1055.68,44.98,147.32,2242.73,2.88,43.71,947.2,-32.6,97.31,3904.47,0.37,6.09,947.09,No
1.86,408.58,17.6,45.04,136.41,3353.76,1.51,40.52,1053.88,-35.67,171.23,3552.45,1.6,25.4,1052.81,-32.35,100.66,2237.6,2.8,18.43,1057.92,47.52,133.51,2162.51,1.36,12.66,1054.1,45.46,104.33,2466.19,2.79,17.19,944.33,No
6.41,1481.87,8.55,46.05,147.72,2301.05,0.68,32.93,942.09,-33.9,175.84,2995.01,2.98,5.38,1052.31,45.08,135.58,2075.98,1.11,41.67,945.72,-38.78,166.68,2012.82,2.17,17.53,1052.62,42.25,104.51,3980.78,1.38,38.42,945.62,No
12.08,450.78,10.2,47.94,138.17,2766.21,2.41,5.96,1055.8,-34.46,94.73,2639.27,2.12,47.69,1059.66,-34.62,116.11,3152.54,2.67,7.37,1057.97,-37.52,145.85,2863.3,1.07,29.47,942.53,-39.32,142.12,2191.66,3.04,43.95,1053.49,No
30,2602.71,36.42,18.65,51.17,208.29,7.7,82.43,979.92,-13.84,41.54,1301.89,7.1,51.04,977.87,-15.06,50.98,595.91,5.94,71.71,1012.09,12.4,43.39,1829.52,7.39,55.34,1003.36,12.3,31.94,839.55,6.51,51.48,1043.91,Yes
7.85,467.91,3.82,-37.38,176.43,3169.66,1.64,33.08,1052.46,-36.33,143.49,2234.91,2.07,38.96,1053.12,44.59,142.23,2118.11,2.24,24.15,940.13,47.54,154.39,2890.36,2.41,0.15,1052.92,-33.34,109.95,2266.57,2.94,11.54,1054.54,No
20.62,2215.12,27.17,5.95,67.71,54.84,5.26,73.23,962.31,19.91,49.47,1238.49,6.34,53.22,975.54,-23.4,78.9,1271.19,4.83,54.81,1032.57,-19.88,22.13,587.59,4.35,70.24,1045.29,-24.71,80.03,1314.06,6,84.18,953.9,Yes
23.26,1926.09,26.68,5.74,60.43,524.08,7.07,69.89,1048.74,32.93,83.03,114.33,7.53,83.69,1029.99,-19.9,89.46,1889.22,7.7,93.37,960.88,7.25,85.31,115.07,5.38,98.25,951.33,11.27,88.87,1065.62,4.02,85.76,1005.03,Yes
19.31,2602.8,29.37,35.04,70.72,713.49,4.86,86.93,955.06,21.13,21.7,1739.66,6.63,79.83,1022.58,-9.24,88.28,1338.08,6.72,86.51,987.3,3.97,86.96,1750.44,5.63,81.25,1043.73,17.26,10.69,520.41,6.67,98.41,1033.39,Yes
18.23,1895.25,30.28,16.1,11.3,817.57,5.3,91.93,981.97,-27.43,36.82,1807.08,5.49,98.67,977.8,-5.33,43.79,12.02,6.53,70.85,1014.36,22.8,21.55,1926.14,4.03,93.6,1031.6,3.44,40.33,424.11,6.94,66.67,974.14,Yes
11.52,566.33,3.53,-32.87,101.35,3774.13,1.19,45.68,1058.6,-38.47,134.11,2125.02,3.27,0.94,944.04,49.36,117.01,3415.92,1.55,11.69,1052.38,45.22,154.23,3022.71,1.94,34.39,1055.37,44.58,157.5,2914.48,3.04,5.48,944.02,No
27.82,1551.73,34.47,0.31,44.35,1927.32,4.53,76.37,1022.96,29.6,39.36,252.6,6.76,98.7,962.39,26.63,59.71,130.72,5.44,51.94,953.71,37.73,30.83,1028.61,5.26,66.22,954,-7.15,44.75,746.64,6.53,90.89,958.56,Yes
5.25,546.59,17.6,44.91,97.62,2812.47,2.73,12.55,1054.73,-33.15,103.5,2551.57,3.38,35.4,1054.05,-38.12,102.3,2763.49,0,46.64,946.59,45.39,124.64,3483.89,0.66,41.88,1059.02,-35.26,111.74,2290.23,2.68,40.59,1052.72,No
29.6,2410.32,20.68,5.67,3.79,1650.2,4.04,95.09,1023.62,-18.37,69.61,709.37,4.22,69.88,960.26,12.99,68.24,87.52,4.98,59.59,959.64,1.01,72.08,1988.74,5.79,88.19,1011.31,23.13,43.14,1316.98,4.32,74.71,995.84,Yes
25.24,1847.74,34.33,28.14,72.07,1365.99,5.11,74.69,1033.5,18.99,10.25,857.11,7.97,52.73,962.53,-28.06,12.98,718.2,4.97,86.09,1018.34,24.88,22.48,1970.39,4,94.62,1015.76,22.03,22.19,1709.2,5.6,54.21,969.34,Yes
16.25,2896.23,30.72,-15.08,74.44,807.56,4.92,73.3,974.92,-0.78,33.13,780.81,7.6,69.86,999.05,10.44,62.42,250.69,4.25,87.76,968.31,-11.05,69.99,925.72,6.96,60.92,984.42,10.09,22.3,1381.7,4.13,96.66,1017.21,Yes
1.62,519.76,4.91,47.71,132.87,3518.72,1.62,14.18,1052.08,43.9,117.26,3887.93,2.51,35.3,940.74,44.88,149.4,2823.99,1.5,14.53,1051.19,-32.87,108.53,3264.71,0.12,47.69,947.44,46.05,94.35,3552.95,1.27,40.86,1051.36,No
19.37,1835.05,38.18,3.94,86.6,1196.51,5.04,68.32,1013.46,32.75,84.4,1294.18,6.8,55.2,1043.4,1.22,23.51,341.64,5.46,79.12,962.26,28.64,40.51,1803.21,6.28,55.77,1010.07,20.57,34.72,1262.63,7.66,68.37,985.72,Yes
22.34,2766.04,39.62,16.85,20.01,1743.93,5.19,82.01,1027.42,2.92,14.05,1018.05,4.12,92.74,995.91,21.33,51.2,837.96,7.12,56.95,1045.86,15.38,54.99,1162.57,7.45,97.36,994.1,-11.73,53.36,210.02,5.25,93.53,976.45,Yes
0.54,617.44,3.1,-39.58,157.91,2050,2.86,31.01,944.83,-37.69,170.75,2801.7,0.5,14.57,1057.27,-39.87,163.51,2204.91,2.91,11.92,1055.45,47.65,125.38,2858.67,1.95,14.91,1054.35,45.35,168.86,2134.49,3.48,7.62,941.89,No
24.14,2316.88,21.44,-22.77,76.84,700.21,5.81,57.07,1047.44,18.43,44.9,1476.73,4.86,55.21,1017.84,-18.49,14.68,238.11,6.48,76.56,1005.14,14.98,84.42,381.58,7.53,97.53,1024.6,35.83,17.07,375.79,4.54,61.71,1031.52,Yes
23.7,1885.17,20.33,33.36,44.64,582.46,5.53,86.21,1038.17,20.93,20.42,1571.28,5.64,52.94,1024.31,-2.02,17.3,1360.45,7.32,84.12,1038.74,29.35,63.07,1010.05,7.41,84.49,965.77,25.54,81.83,1097.53,6.56,98.96,1028.95,Yes
7.41,532.85,10.01,-32.78,128.4,3997.08,0.71,33.09,1057.13,-33.15,97.16,2282.05,2.82,25.77,943.71,-31.09,131.94,3930.93,2.74,13.82,1054.29,-37.73,145.69,2862.96,0.66,35.47,946.38,46.14,174.52,2448.71,1.19,14.63,947.16,No
9.69,543.32,0.96,49.68,122.35,2651.93,2.82,24.8,1057.14,-33.05,93.05,2453.32,2.77,47.98,1058.03,48.75,110.55,3769.27,0.1,49.45,946.07,-35.4,106.63,3350.11,0.38,17.28,1059.35,45.83,135.7,2457.55,1.32,13.57,948.73,No
8.77,1474.28,6.15,-39.8,116.72,3262.54,0.65,32.94,1051.39,-32.84,104.77,2087.34,2.94,40.15,1052.17,49.04,117.1,2494.92,3.18,38.56,1054.03,-39.8,111.45,3779.78,0.04,27.27,1051.87,48.54,157.68,3626.56,2.93,48.82,946.88,No
19.01,1904.41,37.4,12.44,53.12,1475.69,4.49,91.54,1017.17,-26.85,38.86,806.41,6.26,68.67,1042.26,-21.56,52.42,1209.44,4.51,68.9,1010.13,-17.33,8.64,602.35,5.74,63.28,957.58,-14.13,64.32,1808.83,6.05,93.82,1019.32,Yes
8.9,611.79,18.8,45.22,91.41,2165.23,2.49,12.61,947.89,47.95,92.41,2669.43,0.5,33.77,948.86,49.76,135.25,3496.87,2.13,6.84,942.82,-31.18,127.7,2292.98,2.41,37.2,1058.99,43.02,96.56,3809.59,0.02,23.37,944.6,No
26.76,1782.12,39.82,-27.54,29.01,155.44,6.63,62.55,1045.98,12.42,0.62,957.38,6.76,53.63,1020.91,-18.48,43.84,803.41,6.32,74.73,997.27,28.36,18.17,1730.58,6.94,63.26,1025.98,-3.42,46.96,741.69,4.92,62.32,959.12,Yes
23.07,2186.55,22.92,-21.74,21.1,329.56,4.8,91.06,1025.9,-15.3,17.06,1047.78,5.68,53.46,956.71,-5.42,11.94,1508.88,5.36,64.03,1025.5,-6.91,3.22,1939.75,5.54,52.2,977.69,-25.51,53.56,1188.03,7.98,78.63,1034.31,Yes
5.07,576.17,2.11,-36.27,113.63,3567.53,2.13,9.98,1053.56,-31.41,137.2,2142.63,3.09,37.78,1055.48,-37.21,131.53,3918.24,0.9,27.83,1058.59,-34.68,161.86,2973.15,0.5,26.35,942.15,48.09,113.2,2758.89,0.86,46.68,941.68,No
26.9,1849.72,32.88,-10.02,73.41,1840.71,7.73,99.05,1046.12,23.54,19.75,852.63,5.39,73.78,1011.87,3.81,40.1,117.67,7.26,55.75,1031.68,-8.97,81.3,1867.77,7.09,98.48,978.11,-26.57,89.4,974.49,6.88,79.77,1023.69,Yes
8.39,1018.17,18.06,48.71,111.5,3110.88,2.02,24.92,1055.95,43.61,119.12,2127.75,1.38,45.31,944.54,-35.74,124.87,3399.32,0.17,0.77,948.41,45.68,101.75,3841.55,2.35,3.68,1059.22,42.4,118,3593.84,0.96,28.01,948.82,No
2.66,40.09,5.54,-37.67,99.61,3818.57,1.31,12.32,942.84,48.11,91.25,3646.79,0.38,17.09,946.02,46.23,133.11,2965.77,3.02,6.12,1052.31,47.52,114.3,3870.36,0.13,40.01,945.66,41.52,107.09,3280.23,0.56,11.07,947.81,No
17.44,1923.28,34.99,36.59,32.85,1396.33,7.35,89.74,1005.26,30.85,71.79,231.61,5.58,87.98,1001.27,20.08,59.03,1113.38,5.67,67,994.79,35.35,18.2,371.78,5.72,97.75,965.26,-12.07,89.08,1900.46,4.5,67.09,986.41,Yes
15.01,2854.9,38.36,-7.1,89.93,1624.46,4.57,59.88,997.13,-0.49,9.17,1590.16,4.64,76,1016.88,-15.79,27.44,371.85,4.38,67.37,1021.81,-15.65,35.43,872.5,5.69,54.18,1018.49,16.39,28.6,912.34,5.14,52.41,1040.52,Yes
16.44,2005,38.33,4.92,11.03,1463.57,7.85,63.15,953.92,7.24,82.18,1994.43,6.87,90.27,991.49,20.06,15.04,136.07,7.28,58.02,963.6,-2.29,61.85,762.46,4.06,77.22,1042.98,10.12,37.21,648.15,6.31,57.67,1018.79,Yes
10.92,942.15,16.44,-33.12,126.94,3663.78,0.72,24.23,1059.85,-38.33,98.57,2699.81,1.3,11.59,943.56,49.77,98.99,3105.08,2.77,37.71,1055.45,-33.25,103.86,2811.58,2.86,27.83,1052.33,-31.31,142.02,3142,2.59,24.16,1051.5,No
2.72,935.99,17.85,-39.71,145.28,2895.42,3.47,29.99,943.02,45.17,145.01,2499.92,2.01,47.31,943.62,48.12,109.17,3469.28,2.89,8.81,1057.91,42.86,130.09,3637.15,2.91,4.13,1057.68,44.46,171.91,3920.96,1.19,12.33,942.09,No
26.76,1933.73,35.86,31.68,6.7,1117.05,6.82,62.85,957.52,-17.7,15.5,375.33,6.76,61.61,952.19,15.67,18.08,1487.4,4.88,91.97,1006.04,-18.68,60.3,166.26,5.74,88.15,1032.09,-28.59,10.02,694.84,5.94,69.47,986.73,Yes
26.41,1961.96,27.79,20.61,15.92,1391.03,4.16,79.98,1034.13,-20.78,58.47,884.08,7.74,72.16,1020.65,-12.06,88.45,1916.79,5.13,84.38,974.31,-12.97,35.71,838.59,4.55,61.36,974.36,-17.75,32.92,209.95,5.25,94.26,971.41,Yes
0.03,473.71,1.32,-39.46,141.2,3612.12,1.98,37.39,948.37,-32.72,142.32,3294.18,2.31,19.29,941.29,41.96,101.73,2353.46,1.26,45.51,941.35,-34.26,112.09,3542.39,0.31,43.06,947.63,42.75,102.29,2350.23,2.47,16.13,1054.84,No
5.27,509.29,10.39,46.31,121.02,2594.7,0.04,28.11,1052.75,44.94,144.32,3837.04,2,6.69,948.31,-31.38,162.59,2108.05,2.48,41.82,1059.72,42.16,118.36,3930.89,2.67,4.88,946.29,43.12,143.71,2798.03,2.43,0.64,940.41,No
8.72,335.48,11.53,-36.59,178.65,3740.52,2,5.88,1051.62,-39.36,172,2273.66,1.1,32.83,942.54,-33.26,150.16,2859.15,2.97,39.57,1059.24,-36.05,150.24,2564.6,1.95,0.48,1057.79,-33.71,169.75,3518.47,2.37,42.78,940.25,No
9.4,1109.14,14.11,-33.59,118.59,2850.81,2.65,45.21,944.62,47.87,175.69,2127.75,1.16,7.51,1059.06,-38.77,100.27,3920.25,2.6,29.11,945.5,-31.52,150.25,2318.75,1.28,0.87,1057.03,44.37,99.37,2530.64,1.6,14.76,942.94,No
15.85,1654.67,30.14,33.4,47.49,373.82,5.78,89.05,1022.49,26.13,60.81,1389.84,7.49,75.77,1006,5.79,88.58,1711.94,5.8,98.97,1048.3,29.78,3.2,1593.04,6.14,62.44,1037.98,8.99,3.52,1767.54,5.35,89.22,1016.81,Yes
27.16,2048.48,34.93,1.99,57.79,1513.25,5.81,63.69,1029.02,-8.96,64.19,834.62,4.12,50.13,1018.99,-4.36,15.74,524.38,4.4,86.5,997.3,32.94,43.89,155.96,7.81,59.34,957.42,28.07,71.46,1508.02,6.94,70.34,1013.62,Yes
